EmployerName	EmployerId	Address	PostCode	CompanyNumber	DiffMeanHourlyPercent	DiffMedianHourlyPercent	DiffMeanBonusPercent	DiffMedianBonusPercent	MaleBonusPercent	FemaleBonusPercent	MaleLowerQuartile	FemaleLowerQuartile	MaleLowerMiddleQuartile	FemaleLowerMiddleQuartile	MaleUpperMiddleQuartile	FemaleUpperMiddleQuartile	MaleTopQuartile	FemaleTopQuartile	CompanyLinkToGPGInfo	ResponsiblePerson	EmployerSize	CurrentName	SubmittedAfterTheDeadline	DueDate	DateSubmitted	
'PRIFYSGOL ABERYSTWYTH' AND 'ABERYSTWYTH UNIVERSITY'	19070	Aberystwyth University, Penglais, Ceredigion, SY23 3FL	SY23 3FL	RC000641	8.5	3.7			0	0	51.7	48.3	40.4	59.6	40.9	59.1	55.6	44.4	https://www.aber.ac.uk/en/equality/equality-reports/genderpaygapreporting2022/	Dylan Jones (Diversity and Inclusion Manager)	1000 to 4999	'PRIFYSGOL ABERYSTWYTH' AND 'ABERYSTWYTH UNIVERSITY'	FALSE	4/5/2022 0:00	3/31/2022 13:09	
"RED BAND" CHEMICAL COMPANY, LIMITED	16879	19 Smith's Place, Leith Walk, Edinburgh, EH6 8NU	EH6 8NU	SC016876	0.6	-4.4	14.1	-2	21.8	78.2	41	59	23.2	76.8	4.9	95.1	20.5	79.5		Philip Galt (Managing Director)	250 to 499	"RED BAND" CHEMICAL COMPANY, LIMITED	FALSE	4/5/2022 0:00	3/25/2022 9:16	
1509 GROUP	15320	Royal Grammar School, High Street, Guildford, Surrey, GU1 3BB	GU1 3BB	4104101	18	16			0	0	36	64	36	64	50	50	71	29	https://www.rgsg.co.uk	Ann Mortimer (Payroll Manager)	Less than 250	1509 GROUP	FALSE	4/5/2022 0:00	2/2/2022 11:06	
1LIFE MANAGEMENT SOLUTIONS LIMITED	687	Ldh House St Ives Business Park, Parsons Green, St. Ives, Cambridgeshire, PE27 4AA	PE27 4AA	2566586	6.1	-35.3	55.5	-100	69.2	30.8	58.3	41.7	34.8	65.2	34.8	65.2	47.8	52.2	https://www.1life.co.uk/corporate-information/	Ann Chesher (Head of Employee Services)	Less than 250	1LIFE MANAGEMENT SOLUTIONS LIMITED	FALSE	4/5/2022 0:00	2/1/2022 12:19	
1ST HOME CARE LTD.	17484	14b Dickson Street, Elgin Industrial Estate, Dunfermline, Fife, Scotland, KY12 7SN	KY12 7SN	SC272838	-3	0			0	0	9	91	9	91	9	91	8	92		David Sargent (Group Chief Executive Officer)	Less than 250	1ST HOME CARE LTD.	FALSE	4/5/2022 0:00	2/8/2022 14:48	
2 AGRICULTURE LIMITED	14399	Fairview Mill, Ingliston, Newbridge, Midlothian, EH28 8NB	EH28 8NB	SC156515	12	16.9	-20.5	-69.3	86.5	88	81.7	18.3	95.8	4.2	95.8	4.2	91.7	8.3		Kevin Sketcher (Managing Director)	250 to 499	2 AGRICULTURE LIMITED	FALSE	4/5/2022 0:00	4/1/2022 16:48	
2 SISTERS FOOD GROUP LIMITED	77	Trinity Park House Trinity Business Park, Fox Way, Wakefield, West Yorkshire, WF2 8EE	WF2 8EE	2826929	8.3	5.6	32.1	2.7	2	2	54	46	57	43	66	34	66	34	https://www.2sfg.com/how-we-work/gender/	Lee Greenbury (Director of People and Compliance)	5000 to 19,999	2 SISTERS FOOD GROUP LIMITED	FALSE	4/5/2022 0:00	2/11/2022 12:39	
2 TOUCH BPO SERVICES LTD	690	Camberwell House Victory Way, Doxford International Business Park, Sunderland, England, SR3 3XL	SR3 3XL	8942815	3.5	0	-8	-69	96.2	93.2	37.1	62.9	33.8	66.2	39.1	60.9	47.7	52.3	https://www.wearekura.com/	Julie McIntosh (Chief Culture Officer)	250 to 499	2 TOUCH BPO SERVICES LTD	FALSE	4/5/2022 0:00	10/13/2021 8:59	
23.5 DEGREES LIMITED	694	Unit 3 Hedge End Retail Park, Charles Watts Way, Hedge End, Southampton, Hampshire, England, SO30 4RT	SO30 4RT	8014079	7.9	0	87	9	11	16	28	72	33	67	31	69	34	66	https://23-5degrees.com/media/0esalipb/gpg-report-2020-21-executed.pdf	Sarah Rawson (HR & Payroll Manager)	1000 to 4999	23.5 DEGREES LIMITED	FALSE	4/5/2022 0:00	11/8/2021 14:40	
24 X 7 LTD.	695	Little Easton Manor Park Road, Little Easton, Dunmow, Essex, England, CM6 2JN	CM6 2JN	4142000	2	0	0	0	1.2	0.6	50	50	50	50	50	50	54	46		lisa hyem (fd)	1000 to 4999	24 X 7 LTD.	FALSE	4/5/2022 0:00	10/4/2021 18:47	
24-7 EMPLOYMENT SOLUTIONS LIMITED	17921	198 Parrock Street, Gravesend, England, DA12 1EW	DA12 1EW	7431144	0	0			0	0	25	75	44	56	47	53	31	69	https://247esl.co.uk/gender-paygap	Riju Sharma Adhikari (Director)	Less than 250	24-7 EMPLOYMENT SOLUTIONS LIMITED	FALSE	4/5/2022 0:00	3/29/2022 15:55	
